# replica x Q2 F2nu FLnu xF3nu F2nub FLnub xF3nub
15 2.434783e-02 4.000000e+00 1.325893e+00 6.693649e-01 1.418953e-01 1.538971e+00 -4.738903e-01 3.582366e-01
15 2.434783e-02 1.000000e+02 2.426105e+00 2.576355e+00 -2.322448e-01 2.832098e+00 -2.030630e+00 9.151912e-01
16 2.434783e-02 4.000000e+00 1.207280e+00 5.708927e-01 5.791833e-01 1.577065e+00 4.291335e-01 -4.503322e-02
16 2.434783e-02 1.000000e+02 1.884326e+00 2.264509e-01 7.625234e-01 2.132485e+00 3.434008e-01 1.842337e-01
17 2.434783e-02 4.000000e+00 1.206232e+00 -5.259800e-01 -1.375511e-01 1.511958e+00 -1.284463e-01 8.783345e-01
17 2.434783e-02 1.000000e+02 1.860256e+00 -1.199820e+00 -4.581201e-02 1.754907e+00 -5.348009e-01 7.216834e-01
18 2.434783e-02 4.000000e+00 1.478076e+00 -2.612639e-01 -1.546301e-01 1.463859e+00 -5.279741e-01 9.440594e-01
18 2.434783e-02 1.000000e+02 1.725330e+00 -1.183214e-01 1.329752e-01 2.195554e+00 -4.594100e-01 1.809560e-01
19 2.434783e-02 4.000000e+00 8.274586e-01 1.080341e+00 1.922266e-01 1.898475e+00 2.429428e-01 6.135689e-01
19 2.434783e-02 1.000000e+02 1.372697e+00 7.210045e-01 1.824341e-01 1.973260e+00 1.243505e-01 1.848722e-01
20 2.434783e-02 4.000000e+00 1.081572e-01 -2.777987e-01 7.795470e-01 4.501225e+00 1.780185e+01 2.028131e-02
20 2.434783e-02 1.000000e+02 1.531049e+00 -2.221832e-01 3.345850e-01 2.125461e+00 1.278943e+00 -4.311210e-02
21 2.434783e-02 4.000000e+00 1.215127e+00 1.710591e-01 3.239464e-01 1.547472e+00 3.605035e-01 5.635617e-01
21 2.434783e-02 1.000000e+02 1.068678e+00 4.692331e-01 2.094393e-01 1.853542e+00 3.578622e-01 4.926369e-01
22 2.434783e-02 4.000000e+00 1.411443e+00 2.216932e-01 9.733891e-02 1.537662e+00 4.478589e-01 2.863977e-01
22 2.434783e-02 1.000000e+02 1.681201e+00 -1.590087e-01 4.338626e-01 1.778851e+00 -1.251725e-01 -2.344689e-01
23 2.434783e-02 4.000000e+00 1.366827e+00 2.334476e-03 8.162680e-02 1.699930e+00 1.454957e-01 6.278076e-01
23 2.434783e-02 1.000000e+02 2.092096e+00 -8.419490e-02 2.258556e-01 2.584913e+00 2.063126e-01 6.869162e-01
24 2.434783e-02 4.000000e+00 1.460809e+00 1.347843e-01 4.921848e-02 1.876857e+00 1.245173e-01 6.897964e-01
24 2.434783e-02 1.000000e+02 2.071774e+00 5.377318e-01 -2.706099e-02 2.197546e+00 5.713745e-01 8.482621e-01
25 2.434783e-02 4.000000e+00 1.290123e+00 2.238904e-01 2.237003e-01 1.519028e+00 -4.641825e-02 5.845779e-01
25 2.434783e-02 1.000000e+02 1.821168e+00 3.216054e-01 3.708470e-01 2.085277e+00 -2.786394e-02 7.089896e-01
